Date,Open,High,Low,Close,Adj Close,Volume
8/4/2005,940,940,910,910,578.815796,2607500
8/5/2005,915,915,875,880,559.733765,5610000
8/8/2005,880,880,860,860,547.012756,4685000
8/9/2005,860,870,860,865,550.193054,895000
8/10/2005,865,880,865,875,556.553772,3607500
8/11/2005,875,890,875,880,559.733765,5132500
8/12/2005,880,900,875,900,572.455261,3177500
8/15/2005,870,870,860,865,550.193054,790000
8/16/2005,865,865,845,850,540.6521,1657500
8/18/2005,855,855,850,850,540.6521,3037500
8/19/2005,855,890,850,890,566.094604,2990000
8/22/2005,890,905,885,885,562.914185,8010000
8/23/2005,885,900,885,900,572.455261,9720000
8/24/2005,890,895,870,890,566.094604,8950000
8/25/2005,890,910,890,905,575.635437,15565000
8/26/2005,905,905,870,880,559.733765,1712500
8/29/2005,875,885,830,885,562.914185,6757500
8/30/2005,840,875,820,865,550.193054,11425000
8/31/2005,840,870,840,845,537.471985,15862500
9/1/2005,840,840,830,835,531.111328,4760000
9/5/2005,830,830,810,815,518.389832,12340000
9/6/2005,820,820,810,810,515.209656,3960000
9/7/2005,820,820,805,810,515.209656,6200000
9/8/2005,815,825,810,825,524.75061,34390000
9/9/2005,835,835,820,825,524.75061,11425000
9/12/2005,825,830,815,820,521.570435,4162500
9/13/2005,815,815,805,810,515.209656,3197500
9/14/2005,805,805,760,765,486.586914,18225000
9/15/2005,765,765,745,760,483.406647,18452500
9/16/2005,765,780,765,780,496.127869,7762500
9/19/2005,770,810,770,800,508.849213,9452500
9/20/2005,800,800,785,800,508.849213,6640000
9/21/2005,790,790,785,790,502.488342,2360000
9/22/2005,785,790,775,780,496.127869,12262500
9/23/2005,780,785,775,775,492.947662,10580000
9/26/2005,780,810,780,805,512.029236,22767500
9/27/2005,805,810,805,810,515.209656,1085000
9/28/2005,810,825,805,810,515.209656,15942500
9/29/2005,810,820,810,810,515.209656,5337500
9/30/2005,815,815,810,815,518.389832,20
10/3/2005,840,855,800,840,534.291443,20
10/4/2005,875,890,845,875,556.553772,20
10/5/2005,860,870,855,860,547.012756,20
10/6/2005,890,905,860,890,566.094604,20
10/7/2005,925,935,895,925,588.356689,20
10/10/2005,935,945,920,935,594.717285,20
10/11/2005,920,935,905,920,585.176392,20
10/12/2005,925,925,920,925,588.356689,20
10/13/2005,920,925,915,920,585.176392,14600000
10/14/2005,915,915,915,915,581.996094,12500
10/17/2005,900,900,890,890,566.094604,355000
10/18/2005,870,885,860,870,553.37323,20
10/19/2005,860,865,845,860,547.012756,2522500
10/20/2005,860,860,835,835,531.111328,1810000
10/21/2005,835,850,835,835,531.111328,20
10/24/2005,825,835,825,825,524.75061,20
10/25/2005,825,825,810,820,521.570435,4677500
10/26/2005,855,855,820,855,543.832458,20
10/27/2005,855,860,855,855,543.832458,6092500
10/28/2005,850,850,835,850,540.6521,1962500
10/31/2005,875,875,850,875,556.553772,20
11/1/2005,870,880,865,870,553.37323,20
11/7/2005,870,870,870,870,553.37323,0
11/8/2005,870,870,870,870,553.37323,0
11/9/2005,875,935,875,920,585.176392,13710000
11/10/2005,915,920,910,915,581.996094,20
11/11/2005,890,905,885,890,566.094604,20
11/14/2005,850,890,850,850,540.6521,20
11/15/2005,840,850,840,840,534.291443,20
